epoch,blooming-feather-17 - _step,blooming-feather-17 - _step__MIN,blooming-feather-17 - _step__MAX,blooming-feather-17 - train/loss,blooming-feather-17 - train/loss__MIN,blooming-feather-17 - train/loss__MAX,blooming-feather-17 - val/loss,blooming-feather-17 - val/loss__MIN,blooming-feather-17 - val/loss__MAX
13,40.5,40,41,0.000021959681560176804,0.000021959681560176804,0.000021959681560176804,0.00004170491473962836,0.00004170491473962836,0.00004170491473962836
14,43.5,43,44,0.000016500591064817558,0.000016500591064817558,0.000016500591064817558,0.00001009474614800905,0.00001009474614800905,0.00001009474614800905
15,46.5,46,47,0.00009184310575542343,0.00009184310575542343,0.00009184310575542343,0.00004707808431339778,0.00004707808431339778,0.00004707808431339778
16,49.5,49,50,0.00003537255914523517,0.00003537255914523517,0.00003537255914523517,0.00007867406501814637,0.00007867406501814637,0.00007867406501814637
17,52.5,52,53,0.000023493598022985316,0.000023493598022985316,0.000023493598022985316,0.000024128741623416636,0.000024128741623416636,0.000024128741623416636
18,55.5,55,56,0.000024882769563914553,0.000024882769563914553,0.000024882769563914553,0.000009037366763916722,0.000009037366763916722,0.000009037366763916722
19,58.5,58,59,0.00002353516203185256,0.00002353516203185256,0.00002353516203185256,0.000010118026196670391,0.000010118026196670391,0.000010118026196670391
20,61.5,61,62,0.000013256045712341335,0.000013256045712341335,0.000013256045712341335,0.00003091101203830486,0.00003091101203830486,0.00003091101203830486
21,64.5,64,65,0.000013207431920346174,0.000013207431920346174,0.000013207431920346174,0.00011596890050738705,0.00011596890050738705,0.00011596890050738705
22,67.5,67,68,0.000012261754052046974,0.000012261754052046974,0.000012261754052046974,0.000004976945030837619,0.000004976945030837619,0.000004976945030837619
23,70.5,70,71,0.000011559827204801795,0.000011559827204801795,0.000011559827204801795,0.000004627407301951619,0.000004627407301951619,0.000004627407301951619
24,73.5,73,74,0.000030153504453841262,0.000030153504453841262,0.000030153504453841262,0.0001119010423684684,0.0001119010423684684,0.0001119010423684684
25,76.5,76,77,0.000020573432559369943,0.000020573432559369943,0.000020573432559369943,0.000011975675683919472,0.000011975675683919472,0.000011975675683919472
26,79.5,79,80,0.00001309669017282399,0.00001309669017282399,0.00001309669017282399,0.0000069738985979181856,0.0000069738985979181856,0.0000069738985979181856
27,82.5,82,83,0.000012377976838332049,0.000012377976838332049,0.000012377976838332049,0.000005013697931602938,0.000005013697931602938,0.000005013697931602938
28,85.5,85,86,0.000011057774415471219,0.000011057774415471219,0.000011057774415471219,0.000008860490253469206,0.000008860490253469206,0.000008860490253469206
29,88.5,88,89,0.000010380441209604881,0.000010380441209604881,0.000010380441209604881,0.000018338575376014333,0.000018338575376014333,0.000018338575376014333
30,91.5,91,92,0.000011957013645253751,0.000011957013645253751,0.000011957013645253751,0.000004265061976814652,0.000004265061976814652,0.000004265061976814652
31,94.5,94,95,0.00001186439616837232,0.00001186439616837232,0.00001186439616837232,0.000014116810556635022,0.000014116810556635022,0.000014116810556635022
32,97.5,97,98,0.000012170134031694384,0.000012170134031694384,0.000012170134031694384,0.00003494617786000921,0.00003494617786000921,0.00003494617786000921
33,100.5,100,101,0.000010263953989113624,0.000010263953989113624,0.000010263953989113624,0.000004371825443863484,0.000004371825443863484,0.000004371825443863484
34,103.5,103,104,0.000007433064200112335,0.000007433064200112335,0.000007433064200112335,0.000004505843202529241,0.000004505843202529241,0.000004505843202529241
35,106.5,106,107,0.000011280684532731355,0.000011280684532731355,0.000011280684532731355,0.000013777338659913654,0.000013777338659913654,0.000013777338659913654
36,109.5,109,110,0.000008585461082145178,0.000008585461082145178,0.000008585461082145178,0.000006108274830506199,0.000006108274830506199,0.000006108274830506199
37,112.5,112,113,0.000007723342614912803,0.000007723342614912803,0.000007723342614912803,0.000004955487629279783,0.000004955487629279783,0.000004955487629279783
38,115.5,115,116,0.000008836763866032449,0.000008836763866032449,0.000008836763866032449,0.000007796807484334348,0.000007796807484334348,0.000007796807484334348
39,118.5,118,119,0.000007170655650810677,0.000007170655650810677,0.000007170655650810677,0.00002151794679489299,0.00002151794679489299,0.00002151794679489299
40,121.5,121,122,0.00000831338925837816,0.00000831338925837816,0.00000831338925837816,0.0000022992036915488535,0.0000022992036915488535,0.0000022992036915488535
41,124.5,124,125,0.00000807517794478504,0.00000807517794478504,0.00000807517794478504,0.0000011454258455372687,0.0000011454258455372687,0.0000011454258455372687
42,127.5,127,128,0.00000792620074729276,0.00000792620074729276,0.00000792620074729276,0.000006393829230799707,0.000006393829230799707,0.000006393829230799707
