epoch,serene-snow-16 - _step,serene-snow-16 - _step__MIN,serene-snow-16 - _step__MAX,serene-snow-16 - train/loss,serene-snow-16 - train/loss__MIN,serene-snow-16 - train/loss__MAX,serene-snow-16 - val/loss,serene-snow-16 - val/loss__MIN,serene-snow-16 - val/loss__MAX
19,58.5,58,59,0.000013677207168829353,0.000013677207168829353,0.000013677207168829353,0.00001612214591853866,0.00001612214591853866,0.00001612214591853866
20,61.5,61,62,0.0000132780231077279,0.0000132780231077279,0.0000132780231077279,0.000009749053809097571,0.000009749053809097571,0.000009749053809097571
21,64.5,64,65,0.000013091704785421254,0.000013091704785421254,0.000013091704785421254,0.000005160144730090558,0.000005160144730090558,0.000005160144730090558
22,67.5,67,68,0.000012867032406159411,0.000012867032406159411,0.000012867032406159411,0.000008358536727796455,0.000008358536727796455,0.000008358536727796455
23,70.5,70,71,0.000013474382362336136,0.000013474382362336136,0.000013474382362336136,0.000008108881287498398,0.000008108881287498398,0.000008108881287498398
24,73.5,73,74,0.000013525016970018596,0.000013525016970018596,0.000013525016970018596,0.000005338523152348393,0.000005338523152348393,0.000005338523152348393
25,76.5,76,77,0.000010752113939495437,0.000010752113939495437,0.000010752113939495437,0.000020063936084277408,0.000020063936084277408,0.000020063936084277408
26,79.5,79,80,0.000013668480080517554,0.000013668480080517554,0.000013668480080517554,0.000012953737666635608,0.000012953737666635608,0.000012953737666635608
27,82.5,82,83,0.000011904092338384755,0.000011904092338384755,0.000011904092338384755,0.000009235490313750417,0.000009235490313750417,0.000009235490313750417
28,85.5,85,86,0.000012398918302430132,0.000012398918302430132,0.000012398918302430132,0.00003150425151381511,0.00003150425151381511,0.00003150425151381511
29,88.5,88,89,0.000012167704205118796,0.000012167704205118796,0.000012167704205118796,0.000011474924782051825,0.000011474924782051825,0.000011474924782051825
30,91.5,91,92,0.000011503091876093594,0.000011503091876093594,0.000011503091876093594,0.000019073460447905585,0.000019073460447905585,0.000019073460447905585
31,94.5,94,95,0.00002326778337959026,0.00002326778337959026,0.00002326778337959026,0.000010158080453906102,0.000010158080453906102,0.000010158080453906102
32,97.5,97,98,0.000014985115056449553,0.000014985115056449553,0.000014985115056449553,0.000013668465247158258,0.000013668465247158258,0.000013668465247158258
33,100.5,100,101,0.000012840657151838179,0.000012840657151838179,0.000012840657151838179,0.000009738045511502941,0.000009738045511502941,0.000009738045511502941
34,103.5,103,104,0.00001376724659211331,0.00001376724659211331,0.00001376724659211331,0.00000929682498456543,0.00000929682498456543,0.00000929682498456543
35,106.5,106,107,0.00001148193845033821,0.00001148193845033821,0.00001148193845033821,0.00001921804448152495,0.00001921804448152495,0.00001921804448152495
36,109.5,109,110,0.000011308926978360768,0.000011308926978360768,0.000011308926978360768,0.00003795832361519898,0.00003795832361519898,0.00003795832361519898
37,112.5,112,113,0.0000021253004527853403,0.0000021253004527853403,0.0000021253004527853403,0.0000021319061587913888,0.0000021319061587913888,0.0000021319061587913888
38,115.5,115,116,0.0000016915521605848614,0.0000016915521605848614,0.0000016915521605848614,0.0000015722376813477453,0.0000015722376813477453,0.0000015722376813477453
39,118.5,118,119,0.0000015884813409463065,0.0000015884813409463065,0.0000015884813409463065,0.0000016501936089491364,0.0000016501936089491364,0.0000016501936089491364
40,121.5,121,122,0.0000013524376666802092,0.0000013524376666802092,0.0000013524376666802092,0.0000017029342612679607,0.0000017029342612679607,0.0000017029342612679607
41,124.5,124,125,0.0000012660995517397046,0.0000012660995517397046,0.0000012660995517397046,0.000001188127450061632,0.000001188127450061632,0.000001188127450061632
42,127.5,127,128,0.0000011627655106880296,0.0000011627655106880296,0.0000011627655106880296,8.979187969698828e-7,8.979187969698828e-7,8.979187969698828e-7
